TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0001228"	"DNA-binding transcription activator activity, RNA polymerase II-specific"	-2.3380492316744648	2.603144372620182	2.0322105370116343	1	-0	null
"GO:0004864"	"protein phosphatase inhibitor activity"	-1.342434252666913	1.6532125137753437	0.22354315907127975	0.8851971784811872	-0	null
"GO:0019212"	"phosphatase inhibitor activity"	-1.38947460767956	1.6812412373755872	0.23878473809886705	0.8851971784811872	0.88726231	4864
"GO:0005501"	"retinoid binding"	-2.3380492316744648	1.5185139398778875	0.16257684296093075	0.8476303740717244	0.02264653	null
"GO:0001972"	"retinoic acid binding"	-1.540320274294167	1.1139433523068367	0.060966316110349035	0.7641239305527754	0.9186904	5501
"GO:0033293"	"monocarboxylic acid binding"	-2.3380492316744648	1.6901960800285136	0.24386526444139614	0.8684054255492022	0.02070984	null
"GO:0035925"	"mRNA 3'-UTR AU-rich region binding"	-1.5062977886101034	1.462397997898956	0.14225473759081442	0.7779955579602622	0.32678236	null
"GO:0048407"	"platelet-derived growth factor binding"	-3.228551303470758	1.0413926851582251	0.05080526342529086	0.7225056030404009	0	null
"GO:0005520"	"insulin-like growth factor binding"	-1.8720881582329585	1.2304489213782739	0.08128842148046538	0.7167977904642855	0.70433624	48407
"GO:0031994"	"insulin-like growth factor I binding"	-2.0246823386521573	1.0413926851582251	0.05080526342529086	0.6951583256792483	0.8963171	48407
"GO:0031995"	"insulin-like growth factor II binding"	-2.3380492316744648	0.7781512503836436	0.02540263171264543	0.7033168300165479	0.65269094	48407
"GO:1990837"	"sequence-specific double-stranded DNA binding"	-2.2340877039667864	2.936513742478893	4.384494233602601	0.5738498397149171	0.03080684	null
"GO:0000976"	"transcription cis-regulatory region binding"	-1.4284040762970907	2.8651039746411278	3.718945282731291	0.5725059677945465	0.94002446	1990837
"GO:0000977"	"RNA polymerase II transcription regulatory region sequence-specific DNA binding"	-1.342434252666913	2.7972675408307164	3.1804094904232074	0.5786469285486787	0.88348613	1990837
"GO:0003690"	"double-stranded DNA binding"	-2.0246823386521573	2.9703468762300935	4.740131077579638	0.6257940396164884	0.66121316	1990837
"GO:0043565"	"sequence-specific DNA binding"	-2.2340877039667864	3.000434077479319	5.080526342529086	0.6231453644924071	0.67737269	1990837
