mmusculus,hsapiens
Aldh1a2,ALDH1A2
Alpl,ALPL
Amot,AMOT
Arg1,ARG1
Arl4d,ARL4D
Axin2,AXIN2
Bex1,BEX1
Bex4,BEX4
Cadm1,CADM1
Cald1,CALD1
Calm1,CALM1
Car14,CA14
Ccnd1,CCND1
Ccnjl,CCNJL
Cd24a,CD24
Cdkn1a,CDKN1A
Cdx1,CDX1
Cdx2,CDX2
Cdx4,CDX4
Chd3,CHD3
Cited1,CITED1
Cited2,CITED2
Col18a1,COL18A1
Crabp1,CRABP1
Crabp2,CRABP2
Cxxc5,CXXC5
Cyp26a1,CYP26A1
Ddit4,DDIT4
Dkk1,DKK1
Dlc1,DLC1
Dll1,DLL1
Dll3,DLL3
Dst,DST
Dusp4,DUSP4
Efna1,EFNA1
Epb41l3,EPB41L3
Epha5,EPHA5
Ets2,ETS2
Etv4,ETV4
Evx1,EVX1
Ezr,EZR
Fabp5,FABP5
Fbn2,FBN2
Fgf17,FGF17
Fgf3,FGF3
Fgf8,FGF8
Fgfbp3,FGFBP3
Fn1,FN1
Foxc1,FOXC1
Foxc2,FOXC2
Foxf1,FOXF1
Foxp1,FOXP1
Frzb,FRZB
Fzd10,FZD10
Fzd2,FZD2
Gbx2,GBX2
Gldc,GLDC
Gnai2,GNAI2
Gpc3,GPC3
Greb1,GREB1
Greb1l,GREB1L
Grsf1,GRSF1
Hes3,HES3
Hes7,HES7
Hoxa9,HOXA9
Hoxb8,HOXB8
Hoxb9,HOXB9
Hoxc8,HOXC8
Hoxd9,HOXD9
Id1,ID1
Id2,ID2
Id3,ID3
Ifitm1,IFITM1
Igdcc3,IGDCC3
Igf2,IGF2
Igfbp2,IGFBP2
Igfbp4,IGFBP4
Jpt1,JPT1
Lamc1,LAMC1
Laptm4b,LAPTM4B
Lef1,LEF1
Lhpp,LHPP
Limch1,LIMCH1
Lin28a,LIN28A
Lix1,LIX1
Lmo2,LMO2
Lrig3,LRIG3
Maged1,MAGED1
Maged2,MAGED2
Map1b,MAP1B
Meis2,MEIS2
Meox1,MEOX1
Mest,MEST
Mgst1,MGST1
Msgn1,MSGN1
Msx1,MSX1
Msx2,MSX2
Myl12b,MYL12B
Ncam1,NCAM1
Nin,NIN
Nkd1,NKD1
Nkx1-2,NKX1-2
Notch1,NOTCH1
Npm3,NPM3
Nrarp,NRARP
Odc1,ODC1
Osr1,OSR1
Pabpc1,PABPC1
Pcdh19,PCDH19
Pdlim4,PDLIM4
Peg3,PEG3
Phlda2,PHLDA2
Pitrm1,PITRM1
Plagl1,PLAGL1
Ppib,PPIB
Prtg,PRTG
Ptk7,PTK7
Ptn,PTN
Rbp1,RBP1
Rnf213,RNF213
Rrm2,RRM2
Rspo3,RSPO3
S100a11,S100A11
Sall4,SALL4
Sct,SCT
Sema3e,SEMA3E
Sfrp2,SFRP2
Slc2a1,SLC2A1
Smc6,SMC6
Smoc1,SMOC1
Snai1,SNAI1
Sox3,SOX3
Sp5,SP5
Spint2,SPINT2
Stmn2,STMN2
T,TBXT
Tbx6,TBX6
Tcf15,TCF15
Top2a,TOP2A
Tpm1,TPM1
Tubb2b,TUBB2B
Tubb4b,TUBB4B
Uap1l1,UAP1L1
Uchl1,UCHL1
Wnt3a,WNT3A
Wnt5a,WNT5A
Wnt5b,WNT5B
Ypel3,YPEL3
Zfp503,ZNF503
Zic2,ZIC2
Zic5,ZIC5
