,Name,sample,src,max,count
0,Data_Li2017_Colorectal,CRC04_tumour,GSE201257,2.2714929407119917,8
1,Data_Li2017_Colorectal,CRC10_tumour,GSE201257,2.1874595394577283,8
2,Data_Li2017_Colorectal,CRC05_tumour,GSE201257,1.9742406130314403,8
3,Data_Li2017_Colorectal,CRC01_tumour,GSE201257,1.9458191119873176,8
4,Data_Li2017_Colorectal,CRC07_tumour,GSE201257,1.5391917655954324,8
5,Data_Li2017_Colorectal,CRC06_tumour,GSE201257,1.5096553065790936,8
6,Data_Li2017_Colorectal,CRC03_tumour,GSE201257,1.452011566100187,8
7,Data_Li2017_Colorectal,CRC09_tumour,GSE201257,1.3173867150049114,8
8,Data_Li2017_Colorectal,CRC02_tumour,GSE229103,0.9175867830232715,1
9,Data_Li2017_Colorectal,CRC08_tumour,HCAEmbryonicHindlimb,1.3153421350670602,1
10,Data_Puram2017_Head-and-Neck,5,rRNAModifications,1.8306877002751112,6
11,Data_Puram2017_Head-and-Neck,28,rRNAModifications,1.8096905366192946,6
12,Data_Puram2017_Head-and-Neck,22,rRNAModifications,1.516064962083654,6
13,Data_Puram2017_Head-and-Neck,6,rRNAModifications,1.4056811580600013,6
14,Data_Puram2017_Head-and-Neck,17,rRNAModifications,1.3136883852409424,6
15,Data_Puram2017_Head-and-Neck,26,rRNAModifications,1.1395444964019008,6
16,Data_Puram2017_Head-and-Neck,8,EMTHallmark,2.3990337597790097,6
17,Data_Puram2017_Head-and-Neck,16,EMTHallmark,2.29136812833874,6
18,Data_Puram2017_Head-and-Neck,25,EMTHallmark,1.9536922293509678,6
19,Data_Puram2017_Head-and-Neck,24,EMTHallmark,1.7835036772562078,6
20,Data_Puram2017_Head-and-Neck,13,EMTHallmark,1.721453696306674,6
21,Data_Puram2017_Head-and-Neck,7,EMTHallmark,1.096602482975936,6
22,Data_Puram2017_Head-and-Neck,12,GSE136689,1.0051780456841628,2
23,Data_Puram2017_Head-and-Neck,18,GSE136689,0.8929441955529793,2
24,Data_Puram2017_Head-and-Neck,20,GSE162534,1.4177702225233504,1
25,Data_Puram2017_Head-and-Neck,9,HCAEmbryonicHindlimb,1.7984522810564858,1
26,Data_Puram2017_Head-and-Neck,10,GSE201257,1.3633107331382517,1
27,Data_Geistlinger2020_Ovarian,T77,HCAEmbryonicHindlimb,2.1294661181264827,5
28,Data_Geistlinger2020_Ovarian,T59,HCAEmbryonicHindlimb,1.8087176350318699,5
29,Data_Geistlinger2020_Ovarian,T76,HCAEmbryonicHindlimb,1.766467645284476,5
30,Data_Geistlinger2020_Ovarian,T89,HCAEmbryonicHindlimb,1.6456812199347646,5
31,Data_Geistlinger2020_Ovarian,T90,HCAEmbryonicHindlimb,0.9342256957537023,5
32,Data_Chung2017_Breast,BC10,HCAEmbryonicHindlimb,2.2245503903046546,5
33,Data_Chung2017_Breast,BC06,HCAEmbryonicHindlimb,1.9378317364246995,5
34,Data_Chung2017_Breast,BC11,HCAEmbryonicHindlimb,1.6629655756145223,5
35,Data_Chung2017_Breast,BC04,HCAEmbryonicHindlimb,1.3376938507074831,5
36,Data_Chung2017_Breast,BC07,HCAEmbryonicHindlimb,1.2203181910388323,5
37,Data_Chung2017_Breast,BC05,GSE136689,1.9086088451927123,2
38,Data_Chung2017_Breast,BC03LN,GSE136689,1.181956722920829,2
39,Data_Chung2017_Breast,BC03,rRNAModifications,1.3518346851588516,2
40,Data_Chung2017_Breast,BC07LN,rRNAModifications,1.2684984889445003,2
41,Data_Chung2017_Breast,BC02,GSE201257,1.6866867904537486,2
42,Data_Chung2017_Breast,BC08,GSE201257,1.4539180696251086,2
43,Data_Chung2017_Breast,BC01,GSE162534,1.7605516473251859,1
