TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0001228"	"DNA-binding transcription activator activity, RNA polymerase II-specific"	-4.133944690129561	2.603144372620182	2.0322105370116343	1	-0	null
"GO:0004157"	"dihydropyrimidinase activity"	-2.3821007361890802	0.3010299956639812	0.005080526342529086	0.8540354997643929	-0	null
"GO:0016812"	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides"	-1.7618069098774312	1.0413926851582251	0.05080526342529086	0.8426558427074851	0.57449269	4157
"GO:0004713"	"protein tyrosine kinase activity"	-1.7618069098774312	2.1522883443830563	0.7163542142966012	0.8502302392824465	0.12531438	null
"GO:0004714"	"transmembrane receptor protein tyrosine kinase activity"	-1.7498996792561892	1.8129133566428555	0.3251536859218615	0.8172162408153261	0.63890751	4713
"GO:0005035"	"death receptor activity"	-1.7618069098774312	0.9030899869919435	0.035563684397703604	0.96028611465441	-0	null
"GO:0008081"	"phosphoric diester hydrolase activity"	-1.7618069098774312	1.919078092376074	0.416603160087385	0.8791161507976933	0.24325129	null
"GO:0034236"	"protein kinase A catalytic subunit binding"	-1.7498996792561892	1.1139433523068367	0.060966316110349035	0.9738578866161498	0.02675095	null
"GO:1990837"	"sequence-specific double-stranded DNA binding"	-7.632515635416223	2.936513742478893	4.384494233602601	0.42572548109110836	0	null
"GO:0000976"	"transcription cis-regulatory region binding"	-1.7618069098774312	2.8651039746411278	3.718945282731291	0.41344910806707	0.94002446	1990837
"GO:0000977"	"RNA polymerase II transcription regulatory region sequence-specific DNA binding"	-4.896696016981365	2.7972675408307164	3.1804094904232074	0.42202830472774056	0.89285194	1990837
"GO:0000978"	"RNA polymerase II cis-regulatory region sequence-specific DNA binding"	-5.961060720678035	2.709269960975831	2.596148961032363	0.43305567304361176	0.8570293	1990837
"GO:0000987"	"cis-regulatory region sequence-specific DNA binding"	-4.887660607431587	2.7299742856995555	2.72316211959559	0.43048299865852135	0.8988998	1990837
"GO:0003690"	"double-stranded DNA binding"	-7.632515635416223	2.9703468762300935	4.740131077579638	0.5244353578695234	0.66121316	1990837
"GO:0043565"	"sequence-specific DNA binding"	-7.101666731336368	3.000434077479319	5.080526342529086	0.5208791396036426	0.67737269	1990837
