TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0001228"	"DNA-binding transcription activator activity, RNA polymerase II-specific"	-2.09657157572396	2.603144372620182	2.0322105370116343	0.8774224553111897	0.06810458	null
"GO:0001227"	"DNA-binding transcription repressor activity, RNA polymerase II-specific"	-2.09657157572396	2.322219294733919	1.061830005588579	0.8786814183367064	0.7594785	1228
"GO:0005109"	"frizzled binding"	-1.3624088317659933	1.4313637641589874	0.13209368490575624	0.7807724823691954	0.49753389	null
"GO:0005112"	"Notch binding"	-1.6597381820782917	1.3222192947339193	0.10161052685058172	0.7845491321460266	0.48516644	null
"GO:0005501"	"retinoid binding"	-2.6298222027486107	1.5185139398778875	0.16257684296093075	0.9541393552573422	0.02949872	null
"GO:0048018"	"receptor ligand activity"	-2.379167841113161	2.7041505168397992	2.5656658029771884	0.6893196182273146	0.04148416	null
"GO:0008083"	"growth factor activity"	-1.535430468118122	2.167317334748176	0.7417568460092465	0.7114380594633567	0.82928357	48018
"GO:0061629"	"RNA polymerase II-specific DNA-binding transcription factor binding"	-1.9535016573496395	2.459392487759231	1.4581110603058478	0.9034980747375481	0.12247835	null
"GO:1990837"	"sequence-specific double-stranded DNA binding"	-6.007523085438267	2.936513742478893	4.384494233602601	0.4096074166767346	0	null
"GO:0000976"	"transcription cis-regulatory region binding"	-5.862334525694134	2.8651039746411278	3.718945282731291	0.397886942587835	0.94002446	1990837
"GO:0000977"	"RNA polymerase II transcription regulatory region sequence-specific DNA binding"	-5.405736726664211	2.7972675408307164	3.1804094904232074	0.4065987924096119	0.88348613	1990837
"GO:0000978"	"RNA polymerase II cis-regulatory region sequence-specific DNA binding"	-3.6413149302789405	2.709269960975831	2.596148961032363	0.4177950924981228	0.89285194	1990837
"GO:0000987"	"cis-regulatory region sequence-specific DNA binding"	-3.66292131541715	2.7299742856995555	2.72316211959559	0.415182778649671	0.8988998	1990837
"GO:0003690"	"double-stranded DNA binding"	-5.862334525694134	2.9703468762300935	4.740131077579638	0.5063527626821676	0.66121316	1990837
"GO:0043565"	"sequence-specific DNA binding"	-6.507304171035953	3.000434077479319	5.080526342529086	0.5026994029572229	0.67737269	1990837
